dstag,delta,gamma_e,Ma_edge,p_exi,T_ratio,Ma0,R0,R,uR,rhoR,pR,T_w
2.50079333045704,0.0465256786472017,1.4,0.713944558274654,-0.0118925376493199,4.19607285372368,0.713943321175036,171.5117312836,171.514646511305,-1.00001699724959,1,0.714283238906336,0.238318073794305
2.39969588330165,0.0459338093173957,1.4,0.686957012257639,-0.0122853930561962,4.18859440380089,0.686955647835294,154.141394239932,154.144637980794,-1.00002104393099,1,0.714282876884234,0.238743574477529
2.2985980999688,0.0453871993700074,1.4,0.659703649560765,-0.0126948924004777,4.18169271806117,0.659702173702926,139.476274397162,139.47985919018,-1.00002570181225,1,0.71428251835678,0.239137609437655
2.19749996711272,0.0448598303120972,1.4,0.632302288270884,-0.0131598611992994,4.17481410009113,0.632300711305382,126.612102753875,126.616051761843,-1.00003118981426,1,0.714282151424892,0.239531623690303
2.09640177975877,0.0443425243428931,1.4,0.60480443623718,-0.0136903045645956,4.16773846259702,0.60480276860634,115.178546870053,115.182887874445,-1.00003768934849,1,0.714281775282719,0.2399382804306
1.9953036989241,0.0438498344531514,1.4,0.577049444071354,-0.0142174273397748,4.16110723779933,0.577047716205622,105.454124238083,105.458865529746,-1.00004496070398,1,0.714281436704396,0.240320650935414
1.89420586457448,0.0433715959433724,1.4,0.549272177168697,-0.0147553136194651,4.1541354238844,0.549270418022454,97.0575636480766,97.0627150933892,-1.00005307618612,1,0.714281139027504,0.240723976943662
1.79310835476894,0.0428964757580983,1.4,0.521444810347493,-0.0152749373058733,4.14827009490219,0.521443056797795,89.9191907224395,89.9247510987851,-1.00006183748209,1,0.714280910197661,0.241064341791269
1.69201084496332,0.0424283307611799,1.4,0.493730797296486,-0.0158205970210682,4.1429824977803,0.493729074707236,83.5878826169571,83.593864131204,-1.00007155958567,1,0.714280730117203,0.24137200689015
1.59091301061371,0.0419504286510321,1.4,0.466119850897705,-0.0164201395933485,4.13799943900707,0.466118178148552,77.8089975403403,77.8154232670663,-1.00008258333778,1,0.714280587627078,0.241662671718475
1.48981492977903,0.041459564520538,1.4,0.438622030239511,-0.0171054862870504,4.1334874468324,0.438620419948237,72.3906115540707,72.3975181976037,-1.00009540800091,1,0.71428046965201,0.241926463516014
1.38871674242509,0.0409587907937094,1.4,0.411204144667394,-0.017931635525217,4.12911756692608,0.41120260126294,67.1189460059046,67.1263950539841,-1.00011098279283,1,0.714280352327679,0.242182496330432
1.28761860956901,0.0404668506197087,1.4,0.383911326999693,-0.0189720659570379,4.12544365088219,0.383909846585609,61.8234915312953,61.8315785430077,-1.00013080807169,1,0.714280205531381,0.242398172081725
1.18652082623616,0.0399821417557573,1.4,0.356673465048688,-0.0202783088695449,4.12173825150144,0.356672043874827,56.504273843072,56.5131220384511,-1.00015659338272,1,0.714280022120396,0.242616085491534
1.08542337908076,0.0394439003870411,1.4,0.329145477947485,-0.0218627948669397,4.117443873646,0.329144122964028,51.2995436493129,51.3092893989749,-1.00018997731693,1,0.714279833340056,0.242869127227349
0.984325516640942,0.038915830636841,1.4,0.30155122032278,-0.023850353644973,4.1125933915687,0.301549931417671,46.1242981391675,46.1351371389618,-1.00023499544127,1,0.714279608228256,0.243155572357364
0.883227327872201,0.0383002385852888,1.4,0.273500496135618,-0.0262413153567596,4.10723000671068,0.273499290349792,41.1908405612239,41.2029773941176,-1.00029464882795,1,0.714279416134861,0.243473094607833
0.782128869256519,0.0376213062261158,1.4,0.245141880731296,-0.0292862081807882,4.10109911084092,0.2451407646338,36.3306962432113,36.3444561042876,-1.00037873926181,1,0.714279210209956,0.243837072202567
0.681030626604654,0.037019894872499,1.4,0.216652391318645,-0.033207371957848,4.09337294644076,0.216651372831296,31.5984572734729,31.6142768707983,-1.00050064461023,1,0.714278998557818,0.244297310087397
